Kvadratmeterpris og omsatte boliger (D),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Variabler i filter,,,,,,,,,,,,,,,
Boligtype, Boligtype i alt,,,,,,,,,,,,,,
Gjennomsnittlig kvadratmeterpris,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
År,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Delbydel Linderud,22535,23640,27553,31134,29645,29473,31962,34395,37449,40544,41778,46396,53832,59039,56428
Delbydel Økern,20649,22669,28898,32169,29789,32124,35274,36691,40763,40273,44176,49187,55825,-,-
Delbydel Refstad,-,-,-,-,-,-,-,-,-,-,-,-,-,64433,69204
Delbydel Ulven,-,-,-,-,-,-,-,-,-,-,-,-,-,56694,62935
Delbydel Årvoll,24040,25913,31091,34267,32850,32699,35625,39781,43001,44328,45460,51603,58964,64393,63393
Bydel Grorud,18393,20177,23417,25990,24437,25098,27079,29464,33027,34412,35157,40138,46629,50248,49224
Delbydel Ammerud,19396,20954,25448,27472,26235,26338,28308,31490,34973,35865,37363,42481,50456,53420,56047
Delbydel Rødtvet,20144,21509,25139,28434,25226,25952,28372,30139,35372,35773,36028,42053,47554,52633,50493
Delbydel Nordtvet,20257,22194,25632,28746,27310,27001,28799,31006,33904,36769,36281,41325,48870,51770,49143
Delbydel Grorud,19885,20971,24725,28838,26278,26746,28347,30927,33960,35730,37371,41276,48426,53906,51575
Delbydel Romsås,14402,16491,18824,20264,18719,20753,21447,24047,27292,28791,29618,33652,38271,40028,40934
Bydel Stovner,17657,19008,22075,25057,23666,23599,24821,27583,30364,31420,32063,35510,40255,44165,42394
Delbydel Vestli,17172,18709,20813,24185,22649,22956,23143,25668,27953,29124,29327,32635,37580,38639,37847
Delbydel Fossum,18492,18909,22185,25623,23475,22909,23909,26861,29620,31246,33225,37231,38815,44445,41885
Delbydel Rommen,17355,18464,21428,24875,23355,22973,24812,26561,30267,31371,31208,35140,40338,43402,40566
Delbydel Haugenstua,17287,19317,23159,25314,24117,23970,26611,30381,36805,35145,36100,40147,47081,54474,51255
Delbydel Stovner,18402,20049,22099,25832,24555,24750,25504,26869,27604,30144,30949,32955,35797,40182,41013
Delbydel Høybråten,17623,19051,22951,25017,24324,24689,25348,28405,29797,31593,31981,36365,40848,44333,43250
Bydel Alna,18751,20490,24067,26859,25429,25798,27731,30837,33679,35636,35895,41021,47562,51370,49042
Delbydel Furuset,15933,17214,20666,23496,22012,22349,22974,25843,28563,29904,30352,34101,40716,45281,41431
Delbydel Ellingsrud,18128,19864,22370,24908,23755,24323,25633,28582,31136,31885,32773,36955,42283,45622,44361
Delbydel Lindeberg,17850,19775,23464,25579,25341,24318,26940,29149,30560,33583,33436,38975,44025,49149,46635
Delbydel Trosterud,19599,20607,24440,27895,25270,26548,28014,31257,33772,36728,37671,42505,49025,52257,48895
Delbydel Hellerudtoppen,20394,22968,26779,30053,27859,28724,33291,35294,37392,37863,38718,45298,50114,55827,55570
Delbydel Tveita,20029,22448,26140,28549,28267,29302,30726,33387,38050,39884,39298,45357,52253,54617,55361
Delbydel Teisen,21113,23001,27487,29585,28086,28164,30597,34389,38437,40435,40137,45905,55504,58258,55777
Bydel Østensjø,21650,23237,27183,30228,28619,29088,32045,35174,38339,40111,40856,45599,54106,56946,56556
Delbydel Manglerud,22561,24378,29005,31694,30200,30871,33433,37002,40668,42362,43118,48682,57526,59127,59287
Delbydel Godlia,22016,24496,27699,31418,29918,29985,32773,36421,39813,41214,41307,46268,55289,57889,57905
Delbydel Oppsal,21256,22581,26484,29425,27925,28795,31862,34803,37739,40165,40733,45204,54197,56578,56362
Delbydel Bøler,20978,22241,26539,29599,27717,27819,31306,34197,36771,38354,39570,44100,51850,55143,53243
Delbydel Skullerud,20802,22735,26362,29822,28038,28544,30633,33776,36839,38145,39218,43934,51672,55489,53434
Delbydel Abildsø,22138,23300,26076,28266,27693,27595,30635,33726,36409,38618,38878,41048,49157,54636,52715
Bydel Nordstrand,22779,25426,29457,33170,31724,32558,34963,38873,41822,43515,44584,48959,56377,61543,60350
Delbydel Ljan,24938,26890,30989,35272,33556,33392,35951,38568,41154,43788,45733,46413,56021,59426,59756
Delbydel Nordstrand,26204,29074,33188,36886,37299,35491,39162,42370,45271,48628,48379,53340,59412,66340,67386
Delbydel Bekkelaget,26001,29507,35427,38117,38003,37858,39998,44798,48932,50359,49289,54813,60335,68241,65742
Delbydel Simensbråten,22777,26104,29688,34831,31721,34308,36492,40735,43013,43771,45602,49331,56515,64223,61059
Delbydel Lambertseter,21116,23252,27255,30539,28736,29566,32120,35993,39005,40806,42550,47143,55574,58716,57190
Delbydel Munkerud,22655,24938,28497,33854,32607,32167,35553,39948,42237,42990,41858,47174,52722,61949,59833
Bydel Søndre Nordstrand,16137,17471,20503,23463,22866,22729,24273,26468,28626,30302,30204,34226,39156,43009,41235
Delbydel Holmlia Syd,14779,16108,19639,21814,21526,21215,22967,25546,27995,28834,28475,32682,38027,43609,39335
Delbydel Holmlia Nord,15349,16874,20470,22536,22369,22890,23482,26306,27959,31466,29830,34583,41055,44453,43145
Delbydel Prinsdal,17295,18190,20639,23814,23257,21736,24271,25548,26987,30195,29148,33827,38488,41149,40084
Delbydel Bjørnerud,17109,18111,20565,24332,23726,23407,25255,27324,29917,31327,32431,35409,40065,44183,42330
Delbydel Mortensrud,17531,19079,23190,25041,23639,24764,27023,28180,30369,31268,32019,36615,40965,44807,43471
Delbydel Bjørndal,16197,17708,20241,24040,23551,22710,23940,26070,28800,28820,29391,32688,36866,38108,35897
Sentrum,33385,38922,49643,51255,47175,48903,49714,57192,61794,59825,58354,65391,81145,87539,85210
Sentrum,33385,38922,49643,51255,47175,48903,49714,57192,61794,59825,58354,65391,81145,87539,86393
Marka,23078,20457,34733,36228,32457,32752,40226,49426,38650,41385,-,46265,43232,52762,62388
Marka,23078,20457,34733,36228,32457,32752,40226,49426,38650,41385,-,46265,43232,52762,62388
